order_id,order_date,customer_id,product_name,quantity,price,total_sales,region,payment_method,prime_subscription,delivery_cost
1,21/04/2023,3d2f8154-75ae-4801-ba4d-a7138695bf98,Sports,7,307.41,2151.87,Lincolnshire,Credit Card,FALSE,2
2,22/06/2023,e6de54ae-8cba-40fd-b38b-af7bdcb39830,Home Appliances,3,398.92,1196.76,Cambridgeshire,Gift Card,FALSE,3
3,24/01/2023,3170e16a-820f-4cf0-a405-7c1e9d93fe18,Electronics,3,292.2,876.6,West Midlands,Amazon Pay,FALSE,3
4,03/04/2023,87779165-7e4c-443e-bd6d-25373ca87e67,Toys,6,116.54,699.24,Shropshire,Credit Card,TRUE,0
5,15/01/2023,e4c317d9-7137-4c3b-bf63-cb67fe9e95f3,Health & Beauty,6,487.38,2924.28,Herefordshire,Amazon Pay,TRUE,0
6,05/12/2023,cd9b611e-7d01-4f79-9528-4c7f89d829a0,Toys,8,351.12,2808.96,East Riding of Yorkshire,Gift Card,TRUE,0
7,22/06/2023,7adff50d-97e8-4b39-bf46-c7f082128638,Home Appliances,1,70.09,70.09,Tyne and Wear,Debit Card,TRUE,0
8,04/12/2023,77cbcedc-0c0d-4869-b8de-8116de159538,Electronics,7,300.61,2104.27,West Midlands,Credit Card,FALSE,2
9,31/07/2023,1b7615f1-6a6f-4882-9068-404061af4f2f,Home Appliances,7,74.39,520.73,Devon,Amazon Pay,TRUE,0
10,07/04/2023,6c57683a-e8fe-4028-b9f1-f3243271d7d5,Books,1,411.77,411.77,Leicestershire,Gift Card,FALSE,2
11,27/02/2023,00cfc365-71f9-4e8f-940e-9fd3d32c1e1b,Electronics,6,366.04,2196.24,Leicestershire,Credit Card,TRUE,0
12,06/04/2023,0835bcd8-c75f-44b8-b671-4c227d9f6768,Furniture.,9,145.92,1313.28,Derbyshire,Gift Card,FALSE,5
13,12/09/2023,f8f1172b-9a82-4e40-9d8e-7bd94cefd8f9,Toys,1,484.46,484.46,City of London,Amazon Pay,FALSE,2
14,21/01/2023,58ba70d2-6a9b-42d5-999c-d218dcdb56b6,Fashion,3,324.83,974.49,Greater London,Debit Card,FALSE,5
15,28/07/2023,31878779-f244-46bb-82d6-402eedea8323,Toys,6,46.58,279.48,Cumbria,Amazon Pay,TRUE,0
16,05/09/2023,39999fd5-46d5-46e4-b8e8-ad8a3193133d,Furniture.,5,227.01,1135.05,Suffolk,Credit Card,TRUE,0
17,27/03/2023,17dd72e7-c138-4b65-ae72-de0972131db8,Furniture.,7,482.5,3377.5,Cornwall,Gift Card,FALSE,3
18,23/02/2023,66c4ac52-3722-4cd7-a47f-e273ec08d6eb,Fashion,8,294.72,2357.76,Staffordshire,Amazon Pay,FALSE,4
19,23/11/2023,0103f230-1ad3-41ee-9257-7b489ae58fd5,Electronics,1,416.03,416.03,South Yorkshire,Debit Card,TRUE,0
20,14/10/2023,daefd8c6-cc56-4f18-aa1b-1a4a5bc1f2e1,Books,8,101.36,810.88,Suffolk,Debit Card,TRUE,0
21,06/04/2023,7d0e4bb9-9c6e-4d85-af77-1b86cc9182e0,Fashion,9,283.01,2547.09,Cheshire,Credit Card,TRUE,0
22,19/10/2023,c28d02f6-80b3-43f9-ae48-4b59611cbc47,Fashion,5,180.38,901.9,West Midlands,Debit Card,FALSE,3
23,18/05/2023,1178743e-ad7c-41c7-aef3-de1827a0be82,Fashion,7,27.19,190.33,Leicestershire,Amazon Pay,FALSE,4
24,04/02/2023,21744c23-c699-40ca-9530-807b10b78901,Home Appliances,8,467.84,3742.72,Suffolk,Gift Card,TRUE,0
25,10/09/2023,6a07a864-9bb2-4200-ada8-bac9ad4bdd4b,Furniture.,5,312.66,1563.3,Greater Manchester,Debit Card,TRUE,0
26,01/09/2023,6f087e9f-7889-4245-8be0-8f6b43ad3d8f,Toys,9,107.2,964.8,Wiltshire,Credit Card,FALSE,2
